,speech
8718, Se desechan y se reservan para su votación nominal en conjunto en términos del dictamen.
8719," Tiene el uso de la tribuna la diputada Mayra Angélica Enríquez Vanderkam, del Grupo Parlamentario del Partido Acción Nacional, para presentar reserva al artículo 21, hasta por tres minutos."
8720,"Gracias, diputado presidente. Al igual que otros grupos parlamentarios que han venido a presentar aquí sus argumentos y algunas reservas, subo a presentar una reserva en relación al artículo 21 del dictamen que estamos discutiendo."
8721," Gracias, diputada Mayra Angélica Enríquez Vanderkam."
8722," En votación económica, se pregunta a la asamblea si se admite a discusión. Los diputados y las diputadas que estén por la afirmativa sírvanse manifestarlo (votación). Los diputados y las diputadas que estén por la negativa sírvanse manifestarlo (votación). Se pregunta, los diputados y las diputadas que estén por la afirmativa sírvanse manifestarlo (votación)."
8723, Por la afirmativa.
8724, Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación).
8725, Vamos a repetir la votación. Si persiste la duda abrimos el tablero. Adelante.
8726, Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación).
8727," Persiste la duda. Pido a la Secretaría abra el sistema electrónico de votación, por tres minutos."
8728, Secretaria diputada Verónica Delgadillo García: Háganse los avisos del artículo 144 y actívese el sistema electrónico de votación solo por tres minutos.
8729,"Ciérrese el sistema electrónico de votación. Señor presidente, se emitieron 164 votos a favor, 1 abstención, 185 votos en contra, de un total de 351 diputados presentes."
8730, Se desecha y se reserva para su votación nominal en conjunto en términos del dictamen.
8731,(desde la curul): Presidente.
8732," A ver, sonido en la curul de la diputada Mayra Enríquez. ¿Con qué objeto, diputada?"
8733,"(desde la curul): Lamentando mucho el resultado de esta votación, espero que no se lamente el resultado cuando vean que esta no aceptación para cambiar y que de verdad hubiera un consentimiento expreso puede dejar sin eficacia a una ley, a un dictamen que trabajamos mucho."
8734," Gracias, diputada. Tiene el uso de la tribuna la..."
8735,(desde la curul): Presidente.
8736," A ver, sonido en la curul de la diputada Gisela Contreras y posteriormente el diputado. Perdón, Marcela Contreras, Maricela Contreras. Sonido, sonido de Cámara, por favor."
8737,"(desde la curul): Presidente, yo le solicito a usted que nos atengamos a los artículos de la ley y que pida usted que se cancele la reunión de Comisiones Unidas que en este momento estamos llevando. Porque por eso es que varios diputados y diputadas no llegamos, lo hemos venido planteando desde hace un rato, estamos desde las nueve y media de la mañana discutiendo, o intentando discutir unos dictámenes, estamos vuelva y vuelta y ni atendemos a la
sesión y aquí hay varias diputadas y diputados que no pudieron votar en esta iniciativa porque estamos metidas allá."
8738," Registro su comentario, diputada y se lo hacemos saber a los titulares de cada comisión."
8739,(desde la curul): Presidente.
8740," A ver, sonido en la curul del compañero diputado. Sí, ya está el sonido."
8741,"(desde la curul): Cuitláhuac. Diputado, es en el mismo sentido. No es posible, nos hicieron correr desde Comisiones Unidas, que estamos en otro recinto, hasta acá. Y no pudimos alcanzar esta votación tan importante."
8742," Gracias, diputado. Quiero reiterar que esta votación se dio por la duda que había en la votación económica. Me pidieron dos minutos de tiempo para la votación y concedí tres minutos. Fue el Grupo Parlamentario de Morena que nos solicitó esas aperturas."
8743,"No cabe duda que así se trabaja en esta Honorable Cámara de Diputados, de votaciones de a dedazo. Con su venia, señor presidente."
8744, Adelante.
8745," Compañeras y compañeros diputados, los datos personales se refieren a toda aquella información relativa al individuo, que lo identifica o lo hace identificable. Entre otras cosas, le dan identidad, lo describen, precisan su origen, edad, lugar de residencia, trayectoria académica, laboral o profesional. Además de ello, los datos personales también describen aspectos más sensibles o delicados sobre tal individuo, como es el caso de su forma de
pensar, estado de salud, sus características físicas y biología o vida sexual, entre otros. "
8746,"Gracias, diputada Barrientos Pantoja. Consulte la Secretaría a la asamblea en votación económica si se admiten a discusión las reservas presentadas."
8747,"En votación económica se pregunta a la asamblea si se admiten a discusión. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Señor presidente, mayoría por la negativa."
8748,Se desechan y se reservan para su votación nominal en conjunto en términos del dictamen.
8749,"Con su venia, presidente. La reserva que se somete a su consideración es consecuencia de las malas prácticas que no solo muchos parlamentarios acarrean, sino también de los que se titulan para su vida profesional. "
8750,"Gracias, diputada Blanca Margarita Cuata Domínguez. Consulte la Secretaría a la asamblea, en votación económica si se admiten a discusión las reservas presentadas."
8751," En votación económica se pregunta a la asamblea si se admite a discusión. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Señor presidente, mayoría por la negativa."
8752,"Se desechan, y se reservan para su votación nominal en conjunto en términos de dictamen."
8753, Se pide a la Secretaría abra el sistema electrónico por cinco minutos para proceder a la votación de los artículos reservados en términos del dictamen.
8754," Háganse los avisos a que se refiere el artículo 144, numeral 2, del Reglamento de la Cámara de Diputados. Ábrase el sistema electrónico por cinco minutos para proceder a la votación nominal de los artículos reservados en términos del dictamen."
8755," ¿Algún diputado o alguna diputada falta de emitir su voto? El sistema sigue abierto. Ciérrese el sistema electrónico de votación. Señor presidente, se emitieron 295 votos a favor, 0 votos en abstención, 113 en contra, de un total de 409 diputados presentes."
8756, Aprobados los artículos reservados en términos del dictamen por 295 votos. Aprobado en lo general y en lo particular el proyecto de decreto por el que se expide la Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados. Pasa al Ejecutivo para sus efectos constitucionales.
8757, Proceda la Secretearía a dar lectura de las comunicaciones de la Junta de Coordinación Política.
8758," Se recibieron comunicaciones de la Junta de Coordinación Política en relación a cambios de integrantes en comisiones ordinarias y especiales, que se encuentran disponibles en los monitores de sus curules."
8759, Aprobados. Comuníquense.
8760,"(16:36 horas): A efecto de facilitar el trabajo de las comisiones, se levanta esta sesión y se cita para la próxima que tendrá lugar mañana miércoles 14 de diciembre a las 10 de la mañana; repito, a las 10 de la mañana."
8761,
8762, Proceda la Secretaría a pasar lista de asistencia.
8763," Por instrucciones de la Presidencia, procedemos a pasar lista de asistencia de los integrantes de la Comisión Permanente."
8764, (11:29 horas): Se abre la sesión.
8765," Consulte la Secretaría si se dispensa la lectura del orden del día, en virtud de que se encuentra publicada en la Gaceta Parlamentaria."
8766," Por instrucciones de la Presidencia y en votación económica, se consulta a la asamblea si se dispensa la lectura del orden del día. Las legisladoras y los legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y los legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Señor presidente, mayoría por la afirmativa."
8767, Se dispensa la lectura.
8768," El siguiente punto del orden del día es la lectura del acta de la sesión de instalación. Pido a la Secretaría consulte a la asamblea si se le dispensa la lectura, tomando en consideración que ha sido publicado en la Gaceta Parlamentaria."
8769," Por instrucciones de la Presidencia, se consulta a la asamblea, en votación económica, si se dispensa la lectura del acta de la sesión anterior, tomando en consideración que ha sido publicada en la Gaceta Parlamentaria. Las legisladoras y los legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y los legisladores que estén por la negativa sírvanse manifestarlo levantando su
mano (votación). Señor presidente, mayoría por la afirmativa."
8770, Se dispensa la lectura. Proceda la Secretaría a poner a discusión el acta de la sesión de instalación.
8771," Está a discusión el acta. No habiendo quién haga uso de la palabra, en votación económica se pregunta si se aprueba. Las legisladoras y los legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y los legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Señor presidente, mayoría por la afirmativa."
8772, Aprobada el acta.
8773," Continúe con Comunicaciones, ciudadano diputado secretario. Adelante, senador."
8774,"senador Luis Humberto Fernández Fuentes: Buenos días, señor presidente. Doy lectura a las comunicaciones."
8775," Remítase a la Comisión de Agricultura y Sistemas de Riego de la Cámara de Diputados, para su conocimiento."
8776,"senador Luis Humberto Fernández Fuentes: Doy cuenta del segundo asunto. Se remitió de la Cámara de Senadores un oficio con el que se remite el presupuesto de dietas, honorarios, sueldos y gastos de la Cámara de Senadores para el mes de enero de 2017, y el presupuesto ejercido durante el mes de noviembre del año en curso."
8777," Consulte la Secretaría a la asamblea, en votación económica, si se aprueba."
8778,"senador Luis Humberto Fernández Fuentes: Consulto a la asamblea, en votación económica, si es de aprobarse el punto en comento. Quienes estén por la afirmativa favor de manifestarlo (votación). Quienes estén por la negativa favor de manifestarlo (votación). Aprobado el punto, señor presidente."
8779, Aprobado y comuníquese.
8780,"senador Luis Humberto Fernández Fuentes: Doy cuenta del tercer asunto, señor presidente. Es un oficio de la Secretaría de Hacienda y Crédito Público, con el que se informa que en el mes de noviembre de 2016, el Servicio de Administración Tributaria, a través de las autoridades aduaneras competentes, únicamente destinó mercancía perecedera de fácil descomposición o deterioro y aquéllas que no son transferibles al servicio de administración y enajenación de
bienes."
8781," Remítase a la Comisión de Economía de la Cámara de Diputados, para su conocimiento, y a la Comisión de Comercio y Fomento Industrial de la Cámara de Senadores."
8782, Procedemos al capítulo de iniciativas de legisladores.
8783,(desde la curul): Presidente.
8784," Adelante, compañera."
8785,"(desde la curul): Presidente, me parece que hoy tendíamos que hacer un pronunciamiento muy serio respecto a las declaraciones del gobernador de Hidalgo, Omar Fayad, no solamente son misóginas y machistas, sino son discriminatorias y racistas en contra de las mujeres indígenas de su estado. Y además, al otro día se le ocurre rifar una cena de su secretaria de Educación."
8786," Tomo nota de sus expresiones, compañera legisladora. Tiene la palabra, por cinco minutos, la senadora Diva Hadamira Gastélum, del Grupo Parlamentario del PRI, para presentar iniciativa con proyecto de decreto que reforma el artículo 77 de la Ley General de Pesca y Acuacultura Sustentable."
8787," Muchas gracias, señor presidente. Presento iniciativa con proyecto de decreto por el que se modifica el párrafo segundo del artículo77 de la Ley General de Pesca y Acuacultura Sostenibles. Y dos consideraciones es que en México las prácticas de higiene, la manipulación, transformación y transporte de pescado y los productos pesqueros, así como la adecuada refrigeración en todos los procesos, en materia de traslado, pueden reducir en gran
medida los brotes de enfermedades ocasionadas por la contaminación de estos."
8788, Túrnese a la Comisión de Pesca y a la de Agricultura de la Cámara de Diputados.
8789," Tiene la palabra por cinco minutos la senadora Marcela Torres Peimbert, para presentar iniciativa con proyecto de decreto que adiciona el artículo 18 sobre la Ley del Escudo, la Bandera y el Himno Nacionales, suscrita por la diputada Jeanette Ovando Reazola, del Grupo Parlamentario del PAN. "
8790,"Muchas gracias, señor presidente, con su permiso. Compañeras, compañeros legisladores, en México aún falta mucho por hacer para que la igualdad entre mujeres y hombres sea una realidad. "
8791, Túrnese a la Comisión de Gobernación de la Cámara de Diputados para su dictamen.
8792," Tiene la palabra por cinco minutos el diputado Javier Octavio Herrera Borunda, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General del Equilibrio Ecológico y la Protección al Ambiente, suscrita por los diputados integrantes del Grupo Parlamentario del Partido Verde Ecologista."
8793,"Muchas gracias, con la venia de la Presidencia. Compañeros y compañeras legisladores. En el Partido Verde nunca hemos claudicado en la defensa de nuestro medio ambiente y la biodiversidad."
8794," Túrnese a la Comisión de Medio Ambiente y Recursos Naturales, de la Cámara de Diputados, para su dictamen."
8795," Tiene la palabra por cinco minutos el diputado Ariel Juárez Rodríguez, quien presenta iniciativa a nombre de la diputada Norma Rocío Nahle García y Rodrigo Abdala Dartigues, del Grupo Parlamentario de Morena."
8796," Buenos días, diputadas, diputados; senadores y senadoras. La decisión del Estado mexicano de mantener la figura de arraigo penal, como parte de nuestra legislación constitucional y de nuestras prácticas de procuración de justicia, es un hecho que agravia a la sociedad y que ha merecido la condena de las naciones democráticas del mundo."
8797," Túrnese a la Comisión de Puntos Constitucionales de la Cámara de Diputados, para su dictamen."
8798," Tiene la palabra, por cinco minutos, la diputada Erika Araceli Rodríguez Hernández, del Grupo Parlamentario del PRI, para presentar iniciativa con proyecto de decreto que reforma y adiciona los artículos 3o., 78 y 85 del Reglamento de la Cámara de Diputados."
8799," Con la venia de la Mesa Directiva. Compañeras y compañeros legisladores, señoras y señores de los medios de comunicación, ciudadanía que nos acompaña por el Canal del Congreso, el día de hoy acudo a esta tribuna de las decisiones para exponer ante ustedes el proyecto de decreto por el que se adicionan las fracciones XXVII, XXVIII y XXIX al artículo 3 y se reforman los artículos 78 y 85 del Reglamento de la Cámara de las y los diputados
para incorporar el enfoque de la perspectiva de género en la formulación de iniciativas."
8800," Túrnese a la Comisión de Régimen, Reglamentos y Prácticas Parlamentarias de la Cámara de Diputados, para su dictamen."
8801," Tiene la palabra por cinco minutos la diputada Angélica Moya Marín, para presentar iniciativa con proyecto de decreto que reforma y adiciona los artículos 4o. y 36 de la Ley Nacional de Ejecución Penal, suscrita por la diputada Mónica Rodríguez Della Vecchia, del Grupo Parlamentario del PAN."
8802," Con su venia, señor presidente. Señoras y señores legisladores, el desarrollo eficiente de la acción penal representa uno de los componentes que asegura la efectividad en materia de procuración e impartición de justicia, en aras de alcanzar el establecimiento pleno del Estado de derecho."
8803," Túrnese a la Comisión de Justicia de la Cámara de Diputados, para su dictamen."
8804," Tiene la palabra, por cinco minutos, la diputada Paola Félix Díaz, para presentar iniciativa con proyecto de decreto que adiciona los artículos 39 y 90 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos y suscrita por diputados integrantes del Grupo Parlamentario del Partido Verde Ecologista."
8805, Con el permiso de la Presidencia. Agradezco a todos los senadores y diputados federales que suscribieron esta importante iniciativa.
8806,"Túrnese a la Comisión de Régimen, Reglamentos y Prácticas Parlamentarias de la Cámara de Diputados para su dictamen. "
8807," Se pide a la Secretaría dar lectura al acuerdo de la Mesa Directiva relativo a las sesiones y el orden del día de la Comisión Permanente, mismo que fue distribuido a todos los grupos parlamentarios."
8808,"senador Luis Humberto Fernández Fuentes: En virtud de que el acuerdo en comento se ha distribuido a todos los grupos parlamentarios, se va a poner a votación, en votación económica, si se aprueba este punto. Por lo anterior, quienes estén por la afirmativa favor de manifestarlo (votación). Quienes estén por la negativa favor de manifestarlo (votación). Aprobado el acuerdo, señor presidente."
8809,Aprobado y comuníquese.
8810, Se pide a la Secretaria dé lectura al acuerdo de la Mesa Directiva de la Comisión Permanente relativo a la integración de las comisiones de trabajo del primer receso del segundo año de ejercicio de esta LXIII Legislatura.
8811,"senador Luis Humberto Fernández Fuentes: Doy lectura, señor presidente."
8812," Someta la votación, por favor."
8813,"senador Luis Humberto Fernández Fuentes: Someto a votación económica el punto de acuerdo en comento. Los legisladores y las legisladoras que estén por la afirmativa favor de manifestarlo (votación). Quienes estén por la negativa favor de manifestarlo (votación). Aprobado el acuerdo, señor presidente."
8814," Aprobado. Y comuníquese. Continúe, señor secretario."
8815,"senador Luis Humberto Fernández Fuentes: Señor presidente, se han agotado los asuntos de esta sesión."
8816,(12:19 horas): Se levanta la sesión y se cita para la próxima que tendrá lugar el jueves 5 de enero de 2017 a las 11 horas.
8817,
8818, Proceda la Secretaría a para lista de asistencia.
8819, Se va a proceder a pasar lista de asistencia de los integrantes de la Comisión Permanente.
8820,(11:58 horas): Se abre la sesión.
8821,"Consulte la Secretaría a la asamblea si se le dispensa la lectura del orden del día, en virtud de que se encuentra publicado en la Gaceta Parlamentaria."
8822," Por instrucciones de la Presidencia, y en votación económica, se consulta a la asamblea si se dispensa la lectura del orden del día. Las legisladoras y legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Señor presidente, mayoría por la afirmativa."
8823,Se dispensa la lectura.
8824," El siguiente punto del orden del día es la lectura del acta de la sesión anterior. Pido a la Secretaría que consulte a la asamblea si se le dispensa la lectura, tomando en consideración que ha sido publicada en la Gaceta Parlamentaria."
8825," Por instrucciones de la Presidencia, y en votación económica, se pregunta a la asamblea si se dispensa la lectura del acta de la sesión anterior, tomando en consideración que ha sido publicada en la Gaceta Parlamentaria. Las legisladoras y legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y legisladores que estén por la negativa sírvanse manifestarlo levantando su mano
(votación). Señor presidente, mayoría por la afirmativa."
8826,Se dispensa la lectura. Proceda la Secretaría a poner a discusión el acta de la sesión anterior.
8827," Está a discusión el acta. No habiendo quien haga uso de la palabra, en votación económica, se pregunta si se aprueba. Las legisladoras y legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Señor presidente, mayoría por la afirmativa."
8828, Aprobada el acta.
8829, Continúe la Secretaría.
8830," Se recibió de la senadora Gabriela Cuevas Barrón informe sobre la participación de la Delegación Permanente del Congreso mexicano en la 135 Asamblea de la Unión Interparlamentaria, celebrada en Ginebra, Suiza."
8831, Remítase a la Cámara de Senadores.
8832," Se recibió de la Secretaría de Hacienda y Crédito Público la información relativa al pago de las participaciones a las entidades federativas correspondientes al mes de diciembre de 2016, desagregada por tipo de fondo, de acuerdo a lo establecido en la Ley de Coordinación Fiscal y por entidad federativa, efectuando la comparación correspondiente al mes de diciembre de 2015."
8833,"Remítase a las Comisiones de Hacienda y Crédito Público, y de Presupuesto y Cuenta Pública de la Cámara de Diputados; y a la Comisión de Hacienda y Crédito Público de la Cámara de Senadores."
8834," Se recibió del Congreso del Estado de Morelos informe referente a los temas de igualdad y protección de los derechos de las mujeres, derivado de las aportaciones del trabajo legislativo de los diputados integrantes de la LIII Legislatura."
8835," Remítase a la Comisión de Igualdad de Género de la Cámara de Diputados, y a la Comisión para la Igualdad de Género de la Cámara de Senadores."
8836," Se recibieron de diversas autoridades, 48 contestaciones a puntos de acuerdo aprobados por la Cámara de Diputados, la Cámara de Senadores y la Comisión Permanente en su segundo receso del primer año de ejercicio, que se encuentran publicadas en la Gaceta Parlamentaria."
8837," Remítanse a las comisiones correspondientes de la Cámara de Diputados, a la Cámara de Senadores y a los promoventes, según corresponda."
8838," Buenos días. Se recibió de la Universidad Autónoma del Estado de Hidalgo, informe de la auditoría interna a su matrícula, correspondiente al cuarto trimestre del año 2016."
8839," Remítase a las Comisiones de Educación Pública y Servicios Educativos, y de Presupuesto y Cuenta Pública de la Cámara de Diputados."
8840,"senador Luis Humberto Fernández Fuentes: Se recibieron de la Secretaría de Gobernación, los siguientes oficios:"
8841," Túrnese a la Comisión de Relaciones Exteriores de la Cámara de Diputados, a la Comisión de Relaciones Exteriores de la Cámara de Senadores, y a la Segunda Comisión de Trabajo."
8842,senador Luis Humberto Fernández Fuentes: Con el que remite el informe sobre los resultados del Ejercicio Multinacional Tradewinds 2016.
8843, Remítase a la Cámara de Senadores.
8844,senador Luis Humberto Fernández Fuentes: Con el que remite el informe sobre los resultados de la participación en los festejos del 35 Aniversario de la Independencia de Belice.
8845, Remítase a la Cámara de Senadores.
8846,"senador Luis Humberto Fernández Fuentes: Con el que remite el informe sobre los resultados de la participación en la Exposición y Conferencia Internacional Marítima y Naval para América Latina, Exponaval Chile 2016."
8847, Remítase a la Cámara de Senadores.
8848,senador Luis Humberto Fernández Fuentes: Con el que remite el informe sobre los resultados del Ejercicio Multinacional Unitas Pacífico LVII.
8849, Remítase a la Cámara de Senadores.
8850,senador Luis Humberto Fernández Fuentes: Doy lectura a la solicitud de la diputada Ivonne Aracelly Ortega Pacheco.
8851," De conformidad con lo que establece el artículo 78, fracción VIII, de la Constitución Política de los Estados Unidos Mexicanos, se pide a la Secretaría poner a discusión el punto de acuerdo."
8852,senador Luis Humberto Fernández Fuentes: Leo el punto de acuerdo:
8853, Aprobado. Comuníquese a la Cámara de Diputados.
8854,"senador Luis Humberto Fernández Fuentes: Asimismo se recibieron iniciativas del Congreso del Estado de Nuevo León: 1. Con proyecto de decreto por el que se reforman los artículos 4, 5, 8, 17, 18 y 22 de la Ley de Extradición Internacional."
8855, Túrnese a la Comisión de Justicia de la Cámara de Diputados.
8856,senador Luis Humberto Fernández Fuentes: 2. Con proyecto de decreto que se adiciona una fracción XXIX al artículo 132 de la Ley Federal del Trabajo.
8857, Túrnese a la Comisión de Trabajo y Previsión Social de la Cámara de Diputados.
8858,"senador Luis Humberto Fernández Fuentes: Se recibió iniciativa del Congreso del Estado de Michoacán de Ocampo, con proyecto de decreto por el que se reforma el artículo 43 de la Constitución Política de los Estados Unidos Mexicanos."
8859, Túrnese a la Comisión de Puntos Constitucionales de la Cámara de Diputados.
8860,"senador Luis Humberto Fernández Fuentes: Se recibió iniciativa del estado de Veracruz, con proyecto de decreto por el que se reforman y adicionan diversas disposiciones de la Ley de Coordinación Fiscal."
8861, Túrnese a la Comisión de Hacienda y Crédito Público de la Cámara de Diputados.
8862,senador Luis Humberto Fernández Fuentes: Se recibieron del Congreso del Estado de Jalisco las siguientes iniciativas: 1. Con proyecto de decreto por el que se reforman los artículos 41 de la Constitución Política de los Estados Unidos Mexicanos  y 51 de la Ley General de Partidos Políticos.
8863, Túrnese a la Comisión de Puntos Constitucionales de la Cámara de Diputados.
8864,senador Luis Humberto Fernández Fuentes: 2. Con proyecto de decreto por el que se reforma el inciso g) de la fracción IV del artículo 116 de la Constitución Política de los Estados Unidos Mexicanos.
8865, Túrnese a la Comisión de Puntos Constitucionales de la Cámara de Diputados.
8866,senador Luis Humberto Fernández Fuentes: 3. Con proyecto de decreto por el que se adiciona un artículo 4o. A Bis a la Ley de Coordinación Fiscal.
8867, Túrnese a la Comisión de Hacienda y Crédito Público de la Cámara de Diputados.
8868,"senador Luis Humberto Fernández Fuentes: 4. Con proyecto de decreto por el que se reforma el artículo 2, fracción I, inciso D), numerales 1 y 2 de la Ley del Impuesto Especial sobre Producción y Servicios."
8869, Túrnese a la Comisión de Hacienda y Crédito Público de la Cámara de Diputados.
8870,"senador Luis Humberto Fernández Fuentes: 5. Con proyecto de decreto por el que se derogan el inciso d) del artículo 2, el artículo 2o. A, y la fracción II del artículo 28 de la Ley del Impuesto Especial sobre Producción y Servicios."
8871, Túrnese a la Comisión de Hacienda y Crédito Público de la Cámara de Diputados.
8872,(desde la curul): Presidente.
8873," Sí, diputada. ¿Con qué objeto, diputada? Sonido en la curul de la diputada Candelaria Ochoa, por favor."
8874,"(desde la curul): Buenos días, tardes, a todas, a todos. Sólo para comentar que estas cinco iniciativas que manda el Congreso de Jalisco, es una primera iniciativa de los Congresos locales que mandan a esta Comisión Permanente, para manifestar su anuencia de la reversa al gasolinazo y las políticas de austeridad. Así que gracias a las y los diputados de Jalisco por dichas iniciativas."
8875," Gracias, diputada, se registra su intervención. Amigas y amigos legisladores, esta es probablemente..."
8876,(desde la curul): Presidente.
8877," A ver, primero sonido en la curul del diputado Ariel Juárez."
8878,"(desde la curul): Bueno, para comentarle que el día de hoy en la mesa uno, es muy lamentable que de por sí este periodo es corto, no se llevaron a cabo los trabajos de la mesa, toda vez que había 13 dictámenes y uno de ellos que tiene que ver con desaparición forzada. Me parece que una total irresponsabilidad de quienes no llegaron a esta mesa, porque son temas muy importantes y de vital trascendencia para nuestro país, en el tema que tiene
que ver con desaparición forzada."
8879," Gracias, diputado. Bien. Les decía que muy probablemente esta sea la penúltima sesión de trabajo que tenga esta Comisión Permanente."
8880,(desde la curul): Presidente.
8881," Sonido aquí en la curul de la diputada Alejandra Gutiérrez. Adelante, diputada."
8882,"(desde la curul): Gracias, señor presidente. Considero que estamos viviendo tiempos difíciles que requieren acciones inmediatas y responsables."
8883," Gracias, diputada. Se registran las intervenciones de los legisladores. Reiterar el respetuoso exhorto para que podamos desahogar la agenda y reitero, probablemente ésta sea la penúltima sesión. Digo probablemente porque si fu ese el caso pudiéramos tener una sesión más la próxima semana con este mismo fin."
8884," Tiene la palabra, hasta por cinco minutos, el senador Arturo Zamora Jiménez, del Grupo Parlamentario del PRI, para presentar iniciativa con proyecto de decreto que reforma los artículos 1 y 9 de la Ley de Protección al Comercio y la Inversión de Normas Extranjeras que contravengan el derecho internacional."
8885,"Gracias, presidente. Honorable asamblea, México se encuentra ante una de las coyunturas históricas y desafíos más importantes en las últimas décadas. La tormenta del norte que se avecina con la toma de protesta de Donald Trump apunta el comienzo de una nueva etapa en las relaciones de México con los Estados Unidos de América."
8886,"Gracias, diputado Zamora Jiménez."
8887,(desde la curul). Presidente.
8888,"Sí, diputada. Adelante, diputada Botello."
8889,"(desde la curul): Para felicitar al senador Zamora por esta iniciativa tan oportuna. Pedirle si nos permite suscribirnos a la misma. Esto da una gran seguridad jurídica a las inversiones para nuestro país, y sobre todo promover el respeto al derecho internacional."
8890,"Gracias, diputada Botello. El diputado da su anuencia para todos aquellos que quieran suscribir esta iniciativa. Está a su disposición en la Mesa Directiva. Túrnese a la Comisión de Comercio y Fomenta Industrial de la Cámara de Senadores."
8891," Tiene la palabra hasta por cinco minutos la diputada Angélica Moya Marín, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley de Aviación Civil, suscrita por el diputado Alfredo Javier Rodríguez Dávila, del Grupo Parlamentario del Partido Acción Nacional."
8892,"Gracias, señor presidente, con su venia. Señoras y señores legisladores. Es innegable el acelerado crecimiento que ha tenido la industria aérea de transporte de pasajeros en México, particularmente durante los últimos cinco años. A pesar de la expansión de este mercado, hay un factor fundamental que se sigue arrastrando y por el cual se ha hecho muy poco. La insatisfacción de los pasajeros."
8893, Gracias diputada Angélica Moya Marín. Túrnese a la Comisión de Transportes de la Cámara de Diputados.
8894," Tiene la palabra, hasta por cinco minutos, el diputado Javier Herrera Borunda, para presentar iniciativa con proyecto de decreto que reforma los artículos 1o., 5o., 7o., 9o. y 10o, de la Ley General para la Prevención y Gestión Integral de los residuos, suscrita por el senador Carlos Alberto Puente Salas, el diputado Jesús Sesma Suárez, e integrantes del Grupo Parlamentario del Partido Verde Ecologista de
México en el Senado y en la Cámara de Diputados."
8895," Muchas gracias, con la venia de la Presidencia. Compañeros, uno de los principales problemas que vivimos hoy en México y que alteran gravemente nuestro medio ambiente, tiene que ver con los altos volúmenes de residuos sólidos que generamos diariamente, que desgraciadamente reciben escaso o nulo tratamiento."
8896," Gracias, diputado Herrera Borunda. Túrnese a la Comisión de Medio Ambiente y Recursos Naturales de la Cámara de Diputados."
8897," Tiene la palabra hasta por cinco minutos, la diputada María Candelaria Ochoa Avalos, del Grupo Parlamentario de Movimiento Ciudadano, para presentar iniciativa con proyecto de decreto que reforma y adiciona los artículos 89, 115 y 116 de la Constitución Política de los Estados Unidos Mexicanos."
8898," Reitero el buenos días. Muchas gracias. Gracias, presidente."
8899," Gracias, diputada Candelaria Ochoa Ávalos. Túrnese a la Comisión de Puntos Constitucionales de la Cámara de Diputados."
8900," Tiene la palabra, hasta por cinco minutos, el diputado Jorge Carlos Ramírez Marín, para presentar iniciativa con proyecto de decreto que reforma los artículos 52, 53, 54 y 56 de la Constitución Política de los Estados Unidos Mexicanos, suscrita por el diputado César Camacho Quiroz y el diputado Enrique Jackson Ramírez, del Grupo Parlamentario del PRI."
8901,"Con su permiso, señor presidente. Estimados amigos, contaba Joseph Stiglitz, en el prólogo de su libro La Gran Brecha, cómo en una cena de plutócratas, millonarios y con mucho poder, hablaban de la situación del mundo, de la desigualdad y a lo largo de la conversación, dice y narra Stiglitz, me quedó muy claro una cosa, era gente que sabía qué se tenía que hacer para resolver la desigualdad, si no lo habían hecho, era porque no habían
querido. Esa puede ser la frase que terminen adjudicándonos a nosotros, a esta generación de políticos, porque simplemente no hicimos lo que debíamos porque no queríamos. No hay otra justificación."
8902," Gracias, diputado Ramírez Marín. Túrnese a la Comisión de Puntos Constitucionales de la Cámara de Diputados. "
